Country,State,City,Station,Last_Update,Latitude,Longitude,Pollutant_Id,Pollutant_Min,Pollutant_Max,Pollutant_Avg
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",03-04-2025 09:00,19.854616,75.905894,NO2,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB",03-04-2025 09:00,18.616318,73.765797,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",03-04-2025 09:00,18.9936162,72.8128113,NO2,NA,NA,NA
India,Maharashtra,Pune,"Karve Road, Pune - MPCB",03-04-2025 09:00,18.5011743,73.8165527,NO2,NA,NA,NA
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",03-04-2025 09:00,21.869985,85.167016,NH3,NA,NA,NA
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",03-04-2025 09:00,21.869985,85.167016,OZONE,NA,NA,NA
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB",03-04-2025 09:00,11.6829898,79.7532099,OZONE,NA,NA,NA
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",03-04-2025 09:00,11.0973603,77.3228673,PM2.5,NA,NA,NA
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",03-04-2025 09:00,11.0973603,77.3228673,NO2,NA,NA,NA
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",03-04-2025 09:00,25.32393,82.99687,OZONE,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-04-2025 09:00,26.0881305,87.93840336,PM10,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-04-2025 09:00,26.0881305,87.93840336,NO2,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-04-2025 09:00,26.0881305,87.93840336,SO2,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-04-2025 09:00,26.0881305,87.93840336,CO,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-04-2025 09:00,26.0881305,87.93840336,OZONE,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",03-04-2025 09:00,28.5627763,77.1180053,PM10,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",03-04-2025 09:00,28.5918245,77.2273074,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",03-04-2025 09:00,28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",03-04-2025 09:00,28.498571,77.26484,PM2.5,NA,NA,NA
